x	(x-5)*(x-5)	random()*5	y
0.1	24.01	1.635504715	25.64550471
0.2	23.04	3.579885735	26.61988574
0.3	22.09	4.645409791	26.73540979
0.4	21.16	1.821528582	22.98152858
0.5	20.25	1.091014773	21.34101477
0.6	19.36	3.698964007	23.05896401
0.7	18.49	0.298845415	18.78884542
0.8	17.64	1.182352382	18.82235238
0.9	16.81	3.743371941	20.55337194
1	16	4.968283359	20.96828336
1.1	15.21	0.4908113	15.7008113
1.2	14.44	3.20271264	17.64271264
1.3	13.69	3.675307171	17.36530717
1.4	12.96	3.321175274	16.28117527
1.5	12.25	2.385665559	14.63566556
1.6	11.56	4.200463979	15.76046398
1.7	10.89	4.131342182	15.02134218
1.8	10.24	2.948741262	13.18874126
1.9	9.61	3.769024176	13.37902418
2	9	0.537208786	9.537208786
2.1	8.41	0.556823677	8.966823677
2.2	7.84	4.265220392	12.10522039
2.3	7.29	3.681675104	10.9716751
2.4	6.76	4.700727525	11.46072753
2.5	6.25	2.952751764	9.202751764
2.6	5.76	4.935110867	10.69511087
2.7	5.29	3.182453854	8.472453854
2.8	4.84	3.640749604	8.480749604
2.9	4.41	0.964126332	5.374126332
3	4	4.110365344	8.110365344
3.1	3.61	3.803506602	7.413506602
3.2	3.24	1.764656778	5.004656778
3.3	2.89	3.466159612	6.356159612
3.4	2.56	3.005224199	5.565224199
3.5	2.25	1.305604736	3.555604736
3.6	1.96	0.633455354	2.593455354
3.7	1.69	4.145488729	5.835488729
3.8	1.44	3.91915073	5.35915073
3.9	1.21	3.813916504	5.023916504
4	1	3.303016825	4.303016825
4.1	0.81	3.247273454	4.057273454
4.2	0.64	4.801068295	5.441068295
4.3	0.49	3.461454119	3.951454119
4.4	0.36	4.896992792	5.256992792
4.5	0.25	1.04950329	1.29950329
4.6	0.16	3.266387773	3.426387773
4.7	0.09	3.577218281	3.667218281
4.8	0.04	1.883029926	1.923029926
4.9	0.01	0.679472201	0.689472201
5	0	2.657594392	2.657594392
5.1	0.01	4.060911073	4.070911073
5.2	0.04	4.880436019	4.920436019
5.3	0.09	4.073093807	4.163093807
5.4	0.16	4.674645962	4.834645962
5.5	0.25	2.306728423	2.556728423
5.6	0.36	1.730698198	2.090698198
5.7	0.49	0.38618381	0.87618381
5.8	0.64	2.808309001	3.448309001
5.9	0.81	1.318533403	2.128533403
6	1	2.548806597	3.548806597
6.1	1.21	4.014058805	5.224058805
6.2	1.44	4.159947957	5.599947957
6.3	1.69	2.064008104	3.754008104
6.4	1.96	2.493910116	4.453910116
6.5	2.25	3.90297097	6.15297097
