개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3040000,3040000-103-1993-06863,19931030,,1,영업/정상,1,영업,nan,,,,02 4562433,97.94,143864,서울특별시 광진구 자양동 581-4 ,서울특별시 광진구 자양번영로 31 (자양동),5092.0,골드,2021/01/18 17:16,U,2021/01/20 2:40,단란주점,206577.288,447806.088,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,Y,97.94,,,
3040000,3040000-103-1993-06865,19931122,,3,폐업,2,폐업,20001226.0,,,,02 4546716,,143826,서울특별시 광진구 구의동 252-109번지 ,,,불야성,2002/07/10 0:00,I,2018/08/31 23:59,단란주점,207330.3474,448491.5017,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,113.82,,,
3040000,3040000-103-1993-06871,19931026,,3,폐업,2,폐업,19950403.0,,,,206873232,,143903,서울특별시 광진구 중곡동 231-39번지 ,,,로얄,2001/11/29 0:00,I,2018/08/31 23:59,단란주점,207030.4556,451370.8195,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,68.88,,,
3040000,3040000-103-1993-06877,19931227,,3,폐업,2,폐업,19960708.0,,,,204672906,,143915,서울특별시 광진구 화양동 115-7번지 ,,,만남소주방,2001/11/29 0:00,I,2018/08/31 23:59,단란주점,206244.3999,449468.6784,단란주점,0.0,0.0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,102.06,,,
3040000,3040000-103-1993-06886,19931110,,3,폐업,2,폐업,19941102.0,,,,02 5374199,,143819,서울특별시 광진구 구의동 78-7번지 ,,,하여가,2001/11/29 0:00,I,2018/08/31 23:59,단란주점,207848.0747,449668.6988,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,104.14,,,
3040000,3040000-103-1993-06888,19931123,,1,영업/정상,1,영업,nan,,,,222016806,33.83,143825,서울특별시 광진구 구의동 246-75 ,서울특별시 광진구 아차산로51길 4 (구의동),5044.0,두루한,2021/07/12 14:48,U,2021/07/14 2:40,단란주점,207482.6037,448345.6101,단란주점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,33.83,,,
3040000,3040000-103-1993-06889,19930910,,3,폐업,2,폐업,20051222.0,,,,02 4624814,,143916,서울특별시 광진구 화양동 19-38번지 ,,,크리스탈,2003/09/18 0:00,I,2018/08/31 23:59,단란주점,206015.8566,449471.6014,단란주점,0.0,0.0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,141.48,,,
3040000,3040000-103-1993-06891,19931111,,3,폐업,2,폐업,19941001.0,,,,200000000,,143904,서울특별시 광진구 중곡동 244-3번지 ,,,목로단란주점,2001/11/29 0:00,I,2018/08/31 23:59,단란주점,206994.4233,451181.8293,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,94.75,,,
3040000,3040000-103-1993-06899,19930920,,3,폐업,2,폐업,19960806.0,,,,02 4686805,,143915,서울특별시 광진구 화양동 116-7번지 ,,,보스단란주점,2001/11/29 0:00,I,2018/08/31 23:59,단란주점,206217.6222,449481.2277,단란주점,0.0,0.0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,59.78,,,
3040000,3040000-103-1993-06902,19931129,,3,폐업,2,폐업,20051118.0,,,,02 4583446,,143866,서울특별시 광진구 자양동 615-43번지 ,,,자유시인단란주점,2005/03/04 0:00,I,2018/08/31 23:59,단란주점,206847.0496,447818.63,단란주점,0.0,0.0,주택가주변,기타,상수도전용,,,,,,,,,N,61.56,,,
