건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
구의동 청년주택,,,,02000,공동주택,,,1,25904.66,439,,,,,,20211105,20210830,,,20240930,20230403,1,서울특별시 광진구 구의동 246-10번지,11215,10300,0,0246,0010,11000-100007369
,,,,,,,,0,0,0,,,,,,20130528,,,,,20130529,2,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100006684
,,,,,,,,0,0,0,,,,,,20130612,20130624,,,20130627,20130613,3,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100006725
,,,,,,,,0,0,0,,,,,,20130621,,,,,20130626,4,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100006824
,,,,,,,,0,0,0,,,,,,20130717,,,,,20130718,5,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100006904
,,,,,,,,0,0,0,,,,,,20130812,,,,,20130817,6,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100006965
,,,,,,,,0,0,0,,,,,,20130830,,,,,20130831,7,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100006984
,,,,,,,,0,851.08,0,,,,,,20130930,,,20131002,,20131003,8,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100007044
,,,,,,,,0,0,0,,,,,,20131031,,,,,20131101,9,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007144
파크타운,,,,02000,공동주택,,,1,5743.8,28,,,,,,20131213,20140403,,20151021,20150930,20151022,10,서울특별시 광진구 구의동 54-1번지,11215,10300,0,0054,0001,11215-100007404
,,,,,,,,0,0,0,,,,,,20131213,,,,,20131214,11,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007406
,,,,,,,,0,0,0,,,,,,20140103,20140103,,,20140130,20140107,12,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007504
,,,,,,,,0,0,0,,,,,,20140103,,,20140211,20140120,20140212,13,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007505
,,,,,,,,0,0,0,,,,,,20140122,,,,,20140123,14,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007564
,,,,,,,,0,213035.37,0,,,,,,20140123,,,,,20140124,15,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007566
,,,,,,,,0,213035.37,0,,,,,,20140128,,,,,20140130,16,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007586
,,,,,,,,0,0,0,,,,,,20140203,,,,,20140205,17,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007625
,,,,,,,,0,0,0,,,,,,20140203,,,,,20140205,18,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007626
,,,,,,,,0,0,0,,,,,,20140203,,,,,20140205,19,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007627
,,,,,,,,0,213035.37,0,,,,,,20140206,,,,,20140207,20,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007646
,,,,,,,,0,0,0,,,,,,20140304,,,,,20140305,21,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007787
,,,,,,,,0,0,0,,,,,,20140304,,,,,20140305,22,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007788
주성힐스톤,,,,02000,공동주택,,,2,5931.73,48,,,,,,20060804,20120907,,20140321,,20140322,23,서울특별시 광진구 구의동 227-3번지,11215,10300,0,0227,0003,11215-100007885
,,,,,,,,0,0,0,,,,,,20140327,,,,,20140328,24,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100007905
,,,,,,,,0,0,0,,,,,,20140407,,,20140522,,20140523,25,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100007965
,,,,,,,,0,0,0,,,,,,20140501,,,,,20140503,26,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008086
,,,,,,,,0,0,0,,,,,,20140612,,,,,20140613,27,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008266
,,,,,,,,0,0,0,,,,,,20140620,,,,,20140623,28,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008325
,,,,,,,,0,0,0,,,,,,20140721,,,,,20140722,29,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100008406
,,,,,,,,0,0,0,,,,,,20140728,,,,,20140729,30,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008465
,,,,,,,,0,0,0,,,,,,20140801,,,,,20140902,31,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100008485
,,,,,,,,0,0,0,,,,,,20140813,,,,,20140902,32,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008526
,,,,,,,,0,0,0,,,,,,20140902,,,,,20140904,33,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100008585
,,,,,,,,0,0,0,,,,,,20141013,,,,,20141014,34,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100008745
,,,,,,,,0,0,0,,,,,,20141113,,,,,20141114,35,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100008886
,,,,,,,,0,0,0,,,,,,20141117,,,,,20141118,36,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100008906
