°Ç¹°¸í,Æ¯¼öÁö¸í,ºí·Ï,·ÎÆ®,¿ëµµÄÚµå,¿ëµµÄÚµå¸í,±¸Á¶ÄÚµå,±¸Á¶ÄÚµå¸í,ÁÖ°ÇÃà¹°¼ö,¿¬¸éÀû(§³),ÃÑ¼¼´ë¼ö(¼¼´ë),Ã¶°Å¸ê½Ç±¸ºÐÄÚµå,Ã¶°Å¸ê½Ç±¸ºÐÄÚµå¸í,Ã¶°Å½ÃÀÛÀÏ,Ã¶°ÅÁ¾·áÀÏ,Ã¶°Å¸ê½ÇÀÏ,°ÇÃàÇã°¡ÀÏ,Âø°ø¿¹Á¤ÀÏ,Âø°øÀÏ,»ç¿ë°Ë»çÀÏ,»ç¿ë°Ë»ç¿¹Á¤ÀÏ,»ý¼ºÀÏÀÚ,¼ø¹ø,´ëÁöÀ§Ä¡,½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿ÄÚµå,´ëÁö±¸ºÐÄÚµå,¹ø,Áö,°ü¸®ÁÖÅÃ´ëÀåPK
,,,,,,,,0,0,0,,,,,,20130516,,,,,20130517,1,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006604
,,,,,,,,0,0,0,,,,,,20130520,,,20130725,,20130726,2,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 567¹øÁö,11215,10400,0,567,0,11215-100006624
,,,,,,,,0,0,0,,,,,,20130522,,,,,20130523,3,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006644
,,,,,,,,0,0,0,,,,,,20130523,,,,,20130524,4,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100006664
,,,,,,,,0,0,0,,,,,,20130523,,,,,20130524,5,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006665
,,,,,,,,0,0,0,,,,,,20130530,,,,,20130531,6,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 565¹øÁö,11215,10400,0,565,0,11215-100006704
,,,,,,,,0,0,0,,,,,,20130530,,,,,20130531,7,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006705
,,,,,,,,0,0,0,,,,,,20130612,,,20130710,,20130711,8,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100006724
,,,,,,,,0,0,0,,,,,,20130612,,,,,20130613,9,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006726
,,,,,,,,0,0,0,,,,,,20130712,,,20130712,,20130713,10,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100006864
,,,,,,,,0,0,0,,,,,,20130715,,,20130717,,20130718,11,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100006884
,,,,,,,,0,0,0,,,,,,20130715,,,,,20130716,12,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100006885
,,,,,,,,0,0,0,,,,,,20130719,,,,,20130720,13,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100006924
,,,,,,,,0,0,0,,,,,,20130725,,,,,20130726,14,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100006944
,,,,,,,,0,0,0,,,,,,20130812,,,,,20130817,15,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100006964
,,,,,,,,0,0,0,,,,,,20130909,,,,,20130911,16,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007004
,,,,,,,,0,0,0,,,,,,20130925,,,20131107,,20131112,17,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007024
,,,,,,,,0,0,0,,,,,,20130930,,,,,20131001,18,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007045
,,,,,,,,0,0,0,,,,,,20131004,,,,,20131005,19,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007064
,,,,,,,,0,0,0,,,,,,20131014,,,20131014,,20140103,20,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007084
,,,,,,,,0,0,0,,,,,,20131107,,,,,20131112,21,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007164
,,,,,,,,0,0,0,,,,,,20131107,,,,,20131112,22,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007165
,,,,,,,,0,0,0,,,,,,20131111,,,,,20131112,23,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007184
,,,,,,,,0,0,0,,,,,,20131112,,,,,20131114,24,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 578¹øÁö,11215,10400,0,578,0,11215-100007204
,,,,,,,,0,0,0,,,,,,20131112,,,,,20131114,25,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007205
,,,,,,,,0,0,0,,,,,,20131120,,,20131127,,20131128,26,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 578¹øÁö,11215,10400,0,578,0,11215-100007244
,,,,,,,,0,12482.69,0,,,,,,20131120,,,,,20131121,27,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007245
,,,,,,,,0,8474.44,0,,,,,,20131120,,,,,20131121,28,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007246
,,,,,,,,0,0,0,,,,,,20131120,20131202,,,20131216,20131121,29,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007247
,,,,,,,,0,0,0,,,,,,20131128,,,,,20131129,30,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007284
,,,,,,,,0,0,0,,,,,,20131202,,,,,20131204,31,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007324
,,,,,,,,0,0,0,,,,,,20131205,,,,,20131206,32,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 578¹øÁö,11215,10400,0,578,0,11215-100007344
,,,,,,,,0,0,0,,,,,,20131205,,,,,20131206,33,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 578¹øÁö,11215,10400,0,578,0,11215-100007364
,,,,,,,,0,0,0,,,,,,20131212,,,,,20131213,34,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007384
,,,,,,,,0,0,0,,,,,,20131226,,,20140129,,20140130,35,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007424
,,,,,,,,0,0,0,,,,,,20131226,,,,,20131227,36,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100007444
,,,,,,,,0,0,0,,,,,,20131227,,,,,20131228,37,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 569¹øÁö,11215,10400,0,569,0,11215-100007464
,,,,,,,,0,0,0,,,,,,20131227,,,,,20131228,38,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100007465
,,,,,,,,0,0,0,,,,,,20140102,,,,,20140107,39,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100007484
,,,,,,,,0,0,0,,,,,,20140106,,,20140220,,20140221,40,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007506
,,,,,,,,0,0,0,,,,,,20140110,,,,,20140111,41,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007524
,,,,,,,,0,0,0,,,,,,20140114,,,,,20140115,42,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100007544
,,,,,,,,0,25545.97,0,,,,,,20140123,,,,,20140124,43,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 569¹øÁö,11215,10400,0,569,0,11215-100007565
,,,,,,,,0,60250.5,0,,,,,,20140128,,,,,20140130,44,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100007585
,,,,,,,,0,162921.43,0,,,,,,20140206,,,,,20140207,45,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007645
,,,,,,,,0,0,0,,,,,,20140207,,,20140626,20140324,20140627,46,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100007665
,,,,,,,,0,0,0,,,,,,20140218,,,,,20140219,47,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007705
,,,,,,,,0,0,0,,,,,,20140219,,,20140414,,20140415,48,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 567¹øÁö,11215,10400,0,567,0,11215-100007725
,,,,,,,,0,0,0,,,,,,20140224,,,,,20140225,49,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 212-12¹øÁö,11215,10400,0,212,12,11215-100007745
,,,,,,,,0,17327.49,0,,,,,,20140226,,,,,20140227,50,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 561¹øÁö,11215,10400,0,561,0,11215-100007765
,,,,,,,,0,0,0,,,,,,20140304,,,,,20140305,51,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 212-12¹øÁö,11215,10400,0,212,12,11215-100007785
,,,,,,,,0,0,0,,,,,,20140304,,,,,20140305,52,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100007786
,,,,,,,,0,0,0,,,,,,20140307,,,20140414,,20140415,53,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007805
,,,,,,,,0,0,0,,,,,,20140310,,,20140430,,20140501,54,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 576¹øÁö,11215,10400,0,576,0,11215-100007825
,,,,,,,,0,0,0,,,,,,20140310,,,,,20140312,55,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 453-1¹øÁö,11215,10400,0,453,1,11215-100007826
,,,,,,,,0,0,0,,,,,,20140314,,,,,20140315,56,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 579¹øÁö,11215,10400,0,579,0,11215-100007845
,,,,,,,,0,0,0,,,,,,20140318,20140331,,,20140421,20140319,57,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100007865
,,,,,,,,0,0,0,,,,,,20140327,,,,,20140328,58,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100007906
,,,,,,,,0,0,0,,,,,,20140402,,,,,20140403,59,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007925
,,,,,,,,0,0,0,,,,,,20140402,,,,,20140403,60,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100007926
,,,,,,,,0,0,0,,,,,,20140404,,,20140430,,20140501,61,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007945
,,,,,,,,0,0,0,,,,,,20140407,,,,,20141225,62,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100007966
,,,,,,,,0,0,0,,,,,,20140408,,,20140519,,20140520,63,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100007985
,,,,,,,,0,0,0,,,,,,20140417,,,,,20140418,64,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008005
,,,,,,,,0,0,0,,,,,,20140421,,,20140613,20140430,20140614,65,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100008025
,,,,,,,,0,0,0,,,,,,20140422,,,20140613,,20140614,66,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008045
,,,,,,,,0,0,0,,,,,,20140422,,,,,20140424,67,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008046
,,,,,,,,0,0,0,,,,,,20140425,,,,,20140426,68,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100008065
,,,,,,,,0,0,0,,,,,,20140501,,,,,20140503,69,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 567¹øÁö,11215,10400,0,567,0,11215-100008085
,,,,,,,,0,0,0,,,,,,20140507,,,,,20140508,70,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 453-1¹øÁö,11215,10400,0,453,1,11215-100008105
,,,,,,,,0,0,0,,,,,,20140512,,,,,20140513,71,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 212-12¹øÁö,11215,10400,0,212,12,11215-100008125
,,,,,,,,0,0,0,,,,,,20140520,,,,,20140521,72,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008145
,,,,,,,,0,0,0,,,,,,20140520,,,,,20140521,73,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 569¹øÁö,11215,10400,0,569,0,11215-100008146
,,,,,,,,0,0,0,,,,,,20140520,,,,,20140522,74,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008147
,,,,,,,,0,0,0,,,,,,20140523,,,,,20140524,75,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008165
,,,,,,,,0,0,0,,,,,,20140527,,,,,20140601,76,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008185
,,,,,,,,0,0,0,,,,,,20140528,,,,,20140601,77,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008205
,,,,,,,,0,0,0,,,,,,20140605,,,,,20140606,78,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008226
