개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3220000,3220000-102-2018-00006,2018-12-11,,1,영업/정상,1,영업,,,,,,311.39,135-915,"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층","서울특별시 강남구 테헤란로27길 8-4, 늘봄빌딩 (2,3층) (역삼동)",6141,스크린노래,2023/03/28 17:22,U,2022/12/02 21:00,룸살롱,203330.125,444424.745,,,,,,,,,,,,,,,,,,,
3230000,3230000-102-2017-00004,2017-05-31,,1,영업/정상,1,영업,,,,,,85.41,138-805,서울특별시 송파구 가락동 98-7,"서울특별시 송파구 송파대로28길 13, 지하1층 101호 (가락동, 거북이빌딩)",5719,골드1,2023/02/28 16:45,U,2022/12/03 0:03,룸살롱,210491.3219,443569.7632,,,,,,,,,,,,,,,,,,,
3130000,3130000-102-2002-00004,20021029,,3,폐업,2,폐업,20130620,,,,231420029,82.4,121885,서울특별시 마포구 합정동 382-22번지 지하1층 ,,,??,2008/06/23 10:39,I,2018/08/31 23:59,룸살롱,,,룸살롱,,,,,,,,,,,,,,N,82.4,,,
3180000,3180000-102-2001-14135,2001-10-19,,1,영업/정상,1,영업,,,,,,83.18,150-852,서울특별시 영등포구 신길동 449-22 신성빌딩,"서울특별시 영등포구 영등포로 400, 신성빌딩 지하1층 (신길동)",7354,린스,2023/02/28 10:29,U,2022/12/03 0:03,룸살롱,193084.3555,445642.8411,,,,,,,,,,,,,,,,,,,
3210000,3210000-102-1982-06377,1982-02-06,,1,영업/정상,1,영업,,,,,02 5177647,126,137-902,서울특별시 서초구 잠원동 12-21,서울특별시 서초구 강남대로 615 (잠원동),6524,만남,2023/02/28 16:26,U,2022/12/03 0:03,룸살롱,201601.1851,446044.7572,,,,,,,,,,,,,,,,,,,
3190000,3190000-102-1978-01868,1978-05-26,,3,폐업,2,폐업,2023-02-28,,,,,98,156-853,서울특별시 동작구 신대방동 607-28,"서울특별시 동작구 시흥대로 646, 지하1층 (신대방동)",7069,수,2023/02/28 15:11,U,2022/12/03 0:03,스텐드바,191742.1939,443042.7354,,,,,,,,,,,,,,,,,,,
3050000,3050000-102-2000-12300,2000-11-23,,1,영업/정상,1,영업,,,,,,90.96,130-842,서울특별시 동대문구 장안동 382-23,서울특별시 동대문구 장한로21길 11-4 (장안동),2624,아지트7080,2023/03/06 14:47,U,2022/12/03 0:08,룸살롱,206020.8639,451931.5039,,,,,,,,,,,,,,,,,,,
3000000,3000000-102-2011-00017,2011-08-29,,1,영업/정상,1,영업,,,,,,158.65,110-140,서울특별시 종로구 수송동 58 두산위브 (지하1층 B137~B140호),"서울특별시 종로구 삼봉로 81 (수송동,두산위브 (지하1층 B137~B140호))",3150,늘기쁜,2023/03/08 10:46,U,2022/12/02 23:00,룸살롱,198324.6536,452252.8124,,,,,,,,,,,,,,,,,,,
3000000,3000000-102-2001-12216,2001-09-17,,1,영업/정상,1,영업,,,,,02 7447949,123.26,110-808,서울특별시 종로구 돈의동 123-0,서울특별시 종로구 돈화문로5가길 15 (돈의동),3139,피크(PEAK),2023/03/08 15:22,U,2022/12/02 23:00,룸살롱,199163.2044,452128.837,,,,,,,,,,,,,,,,,,,
3180000,3180000-102-2008-00008,2008-07-07,,1,영업/정상,1,영업,,,,,,97.08,150-033,서울특별시 영등포구 영등포동3가 23-1 2층,"서울특별시 영등포구 영등포로50길 8-3 (영등포동3가, 2층)",7304,타임,2023/03/17 10:22,U,2022/12/02 23:09,룸살롱,191895.3382,446230.0373,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2000-22794,2000-11-30,,1,영업/정상,1,영업,,,,,02 5454479,147.45,135-517,서울특별시 강남구 청담동 98-6,"서울특별시 강남구 도산대로 455, 지하1층 (청담동)",6015,베를린,2023/03/17 9:54,U,2022/12/02 23:09,룸살롱,204030.1985,446914.8238,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2014-00001,2014-01-17,,1,영업/정상,1,영업,,,,,,46.31,151-930,서울특별시 관악구 신림동 1639-23,"서울특별시 관악구 남부순환로 1596, 나동 지하1층 (신림동)",8776,오예스노래빠,2023/03/10 11:00,U,2022/12/02 23:02,룸살롱,193563.6243,442402.7485,,,,,,,,,,,,,,,,,,,
3080000,3080000-102-2008-00001,2008-01-21,,1,영업/정상,1,영업,,,,,,126.63,142-874,서울특별시 강북구 수유동 86-1,서울특별시 강북구 도봉로73길 11 (수유동),1114,아우라(AURA),2023/04/03 14:04,U,2022/12/04 0:05,룸살롱,201980.0954,458861.1203,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2000-10195,2000-03-17,,1,영업/정상,1,영업,,,,,02 5254196,96.25,151-800,서울특별시 관악구 남현동 1061-22,서울특별시 관악구 과천대로 945 (남현동),8807,수,2023/03/14 17:29,U,2022/12/02 23:06,룸살롱,198284.4874,441422.5475,,,,,,,,,,,,,,,,,,,
3200000,3200000-102-2000-10592,2000-10-26,,1,영업/정상,1,영업,,,,,02  883 4026,73.67,151-892,서울특별시 관악구 신림동 1431-1,"서울특별시 관악구 신림로 373, 지하1층 (신림동)",8760,썸씽노래빠,2023/03/20 10:32,U,2022/12/02 22:02,룸살롱,193610.3786,442802.9236,,,,,,,,,,,,,,,,,,,
3220000,3220000-102-2001-23094,20010220,,3,폐업,2,폐업,20040525,,,,2,221.88,135825,서울특별시 강남구 논현동 164-0번지 지상3? ,,,준,2003/03/31 0:00,I,2018/08/31 23:59,룸살롱,201962.8388,445158.312,룸살롱,,,기타,자율,상수도전용,,,,,,,,,N,221.88,,,
